3 MONTHS REVIEW HIV,3,HIV,HIV
IMCI REFERRALS MALARIA FEVER 2 TO 11 MONTHS,IMCI,IMCI,NULL
IMCI REFERRALS MALNUTRITION 12 TO 59 MONTHS,IMCI,IMCI,NULL
IMCI REFERRALS MALNUTRITION 2 TO 11 MONTHS,IMCI,IMCI,NULL
IMCI REFERRALS OTHER CONDITIONS 12 TO 59 MONTHS,IMCI,IMCI,NULL
IMCI REFERRALS OTHER CONDITIONS 2 TO 11 MONTHS,IMCI,IMCI,NULL
IMCI REFERRALS PNEUMONIA FAST BREATHING 12 TO 59 MONTHS,IMCI,IMCI,NULL
IMCI REFERRALS PNEUMONIA FAST BREATHING 2 TO 11 MONTHS,IMCI,IMCI,NULL
IMCI REFERRALS RED EYE 12 TO 59 MONTHS,IMCI,IMCI,NULL
IMCI REFERRALS RED EYE 2 TO 11 MONTHS,IMCI,IMCI,NULL
INCINERATOR AND PLACENTA DISPOSAL PIT HEALTH CENTRES,INCINERATOR,NULL,NULL
INCOME ALL SOURCES,INCOME,NULL,NULL
INCOME COST SHARING,INCOME,NULL,NULL
INTESTINAL WORMS ADMISSION,INTESTINAL,NULL,NULL
INTESTINAL WORMS INPATIENT DEATH,INTESTINAL,NULL,NULL
INTESTINAL WORMS NEW,INTESTINAL,NULL,NULL
KMC BABIES INITIATED ON AMBULATORY KMC,KMC,KMC,NULL
KMC LBW BABIES INITIATED ON AMBULATORY KMC,KMC,KMC,NULL
KMC NUMBER OF BABIES DISCHARGED ALIVE,KMC,KMC,NULL
KMC NUMBER OF BABIES EXPECTED FOR KMC FOLLOW UP,KMC,KMC,NULL
KMC NUMBER OF BABIES INITIATED ON KMC,KMC,KMC,NULL
KMC NUMBER OF BABIES INITIATED ON KMC REF IN,KMC,KMC,NULL
KMC NUMBER OF BABIES INITIATED ON KMC REF OUT,KMC,KMC,NULL
KMC NUMBER OF BABIES THAT ATTENDED ATLEAST 1 KMC FOLLOW UP,KMC,KMC,NULL
KMC NUMBER OF BABIES WHO ABSCONDED FROM KMC,KMC,KMC,NULL
KMC NUMBER OF BABIES WHO DIED BEFORE DISCHARGE,KMC,KMC,NULL
KMC NUMBER OF LBW BABIES,KMC,KMC,NULL
KMC NUMBER OF PRE TERM BABIES,KMC,KMC,NULL
LAB ACID PHOSPHATASE,LAB,LAB,NULL
LAB ADULT CELL PACKS,LAB,LAB,NULL
LAB ALBUMIN,LAB,LAB,NULL
LAB ALKALINE PHOSPHATASE,LAB,LAB,NULL
LAB AMYLASE,LAB,LAB,NULL
LAB BICARBONATE,LAB,LAB,NULL
LAB BILURUBIN TOTAL,LAB,LAB,NULL
LAB BIRULUBIN DIRECT,LAB,LAB,NULL
LAB BLEEDING TIME,LAB,LAB,NULL
LAB BLOOD GROUPING,LAB,LAB,NULL
LAB CALCIUM,LAB,LAB,NULL
LAB CD4 EPIC,LAB,LAB,NULL
LAB CHLORIDE,LAB,LAB,NULL
LAB CHOLESTEROL,LAB,LAB,NULL
LAB CLOTTING TIME,LAB,LAB,NULL
LAB CPK,LAB,LAB,NULL
LAB CREATININE,LAB,LAB,NULL
LAB CRYOS,LAB,LAB,NULL
LAB CSF PROTEIN,LAB,LAB,NULL
LAB DNA,LAB,LAB,NULL
LAB ERYTHROCYTES SEDIMENTATION RATE,LAB,LAB,NULL
LAB FBC,LAB,LAB,NULL
LAB FECALYSIS,LAB,LAB,NULL
LAB FFP,LAB,LAB,NULL
LAB GGT,LAB,LAB,NULL
LAB GLUCOSE,LAB,LAB,NULL
LAB GOT,LAB,LAB,NULL
LAB GPT,LAB,LAB,NULL
LAB GRAM NEGATIVE DIPLOCOCCI,LAB,LAB,NULL
LAB GRAM STAIN,LAB,LAB,NULL
LAB HEMOGLOBIN,LAB,LAB,NULL
LAB HEPATITIS B,LAB,LAB,NULL
LAB HEPATITIS C,LAB,LAB,NULL
LAB HIV DETERMINE,LAB,LAB,HIV
LAB INDIAN INK,LAB,LAB,NULL
LAB LABORATORY TECHN IN POST,LAB,LAB,NULL
LAB LACTATE LDH,LAB,LAB,NULL
LAB LIVER FUNCTIONAL TEST,LAB,LAB,NULL
LAB MALARIA MICROSCOPY,LAB,LAB,NULL
LAB N MENINGITIDIS,LAB,LAB,NULL
LAB NO OF DAYS WITHOUT FUNCTIONAL KEY EQUIPMENT,LAB,LAB,NULL
LAB NO OF PARASITOLOGICAL TESTS CONDUCTED,LAB,LAB,NULL
LAB NUMBER OF BIOCHEMISTRY TESTS CONDUCTED,LAB,LAB,NULL
LAB NUMBER OF BLOOD PRODUCTS ORDERED,LAB,LAB,NULL
LAB NUMBER OF BLOOD PRODUCTS SUPPLIED,LAB,LAB,NULL
LAB NUMBER OF HEMATOLOGICAL TESTS CONDUCTED,LAB,LAB,NULL
LAB NUMBER OF MICROBIOLOGICAL TESTS CONDUCTED,LAB,LAB,NULL
LAB NUMBER OF PANEL TESTS CONDUCTED,LAB,LAB,NULL
LAB NUMBER OF PATHOLOGICAL TESTS CONDUCTED,LAB,LAB,NULL
LAB NUMBER OF SEROLOGICAL TESTS CONDUCTED,LAB,LAB,NULL
LAB NUMBER OF STOCK OUT DAYS FOR KEY REAGENTS,LAB,LAB,NULL
LAB NUMBER OF TB TESTS,LAB,LAB,NULL
LAB OTHER,LAB,LAB,NULL
LAB OTHER CULTURE POSITVES,LAB,LAB,NULL
"LAB OTHER SLIDE POSITIVES  INCLDING ZN ",LAB,LAB,NULL
LAB PEDIATRICS CELL PACKS,LAB,LAB,NULL
LAB PHOSPHOROUS,LAB,LAB,NULL
LAB PLATELETS,LAB,LAB,NULL
LAB POTASSIUM,LAB,LAB,NULL
LAB PREGNANCY TESTS,LAB,LAB,NULL
LAB RBC MORPHOLOGY PBS,LAB,LAB,NULL
LAB RDT,LAB,LAB,NULL
LAB S HAEMATOBIUM,LAB,LAB,NULL
LAB SICKLE CELL,LAB,LAB,NULL
LAB SLIDE GRAM STAIN,LAB,LAB,NULL
LAB SLIDE POSITIVE WET MOUNT,LAB,LAB,NULL
LAB SODIUM,LAB,LAB,NULL
LAB SPERM COUNTS,LAB,LAB,NULL
LAB SPNEUMONIA,LAB,LAB,NULL
LAB SYPHILIS,LAB,LAB,NULL
LAB T3,LAB,LAB,NULL
LAB T4,LAB,LAB,NULL
LAB TOTAL BLOOD CULTURE,LAB,LAB,NULL
LAB TOTAL BLOOD PRODUCTS ORDERED FROM MBTS,LAB,LAB,NULL
LAB TOTAL BLOOD PRODUCTS SUPPLIED FROM MBTS,LAB,LAB,NULL
LAB TOTAL CROSSMATCHING,LAB,LAB,NULL
LAB TOTAL CSF,LAB,LAB,NULL
LAB TOTAL HVS,LAB,LAB,NULL
LAB TOTAL NUMBER OF TESTS CONDUCTED,LAB,LAB,NULL
LAB TOTAL NUMBER OF TESTS REQUESTED,LAB,LAB,NULL
LAB TOTAL OTHER BODY CULTURES,LAB,LAB,NULL
LAB TOTAL PROTEIN,LAB,LAB,NULL
LAB TOTAL SENSITIVITY TESTS,LAB,LAB,NULL
LAB TOTAL STOOL CULTURE FOR CHOLERA,LAB,LAB,NULL
LAB TOTAL STOOL CULTURE FOR SALMONELLA AND SHIGELLA,LAB,LAB,NULL
LAB TOTAL URINE CULTURE,LAB,LAB,NULL
LAB TOTAL URINE MICROSCOPY,LAB,LAB,NULL
LAB TRIGLYCERIDES,LAB,LAB,NULL
LAB TSF,LAB,LAB,NULL
LAB T VIRGINALS,LAB,LAB,NULL
LAB UREA,LAB,LAB,NULL
LAB UREA AND ELECTROLYTES,LAB,LAB,NULL
LAB URIC ACID,LAB,LAB,NULL
LAB VIRAL LOAD,LAB,LAB,NULL
LEPROSY ADMISSION,LEPROSY,NULL,NULL
LEPROSY INPATIENT DEATH,LEPROSY,NULL,NULL
LF ADULTS > 15 YEARS,LF,LF,NULL
LF DRUGS USED,LF,LF,NULL
LF HDROCOEL,LF,LF,NULL
LF HELMINTHIASIS,LF,LF,NULL
LF LYMPHATIC FILARISIS,LF,LF,NULL
LF LYMPHOEDEMA,LF,LF,NULL
LF ONCHOCERCIASIS,LF,LF,NULL
LF POPULATION,LF,LF,NULL
"LF PRE SCHOOL CHILDREN  0 4 YEARS ",LF,LF,NULL
LF SCHITOSOMIASIS,LF,LF,NULL
"LF SCHOOL AGE CHILDREN  5 14 YEARS ",LF,LF,NULL
LF SIGHT PROBLEM,LF,LF,NULL
LF THERAPEUTIC,LF,LF,NULL
LF TREATED,LF,LF,NULL
LF YESNO,LF,LF,NULL
MA ART MOTHER 1ST OR 2ND TRIMESTER,MA,MA,HIV
MA ART MOTHER 3RD TRIMESTER,MA,MA,HIV
MA ART MOTHER DURING LABOUR,MA,MA,HIV
MA BREASTFEEDING INITIATED BF IN 60MIN,MA,MA,NULL
MA DELIVERY MODE BREECH,MA,MA,NULL
MA DELIVERY MODE CAESAREAN SECTION,MA,MA,NULL
MA DELIVERY MODE SPONTANEOUS VAGINA,MA,MA,NULL
MA DELIVERY MODE VACUUM EXTRACTION,MA,MA,NULL
MA DELIVERY PLACE HOME TBA,MA,MA,NULL
MA DELIVERY PLACE IN TRANSIT,MA,MA,NULL
MA DELIVERY PLACE OTHER FACILITY,MA,MA,NULL
MA DELIVERY PLACE THIS FACILITY,MA,MA,NULL
MA HIV TEST RESULTS NEW VE,MA,MA,HIV
MA HIV TEST RESULTS NEW +VE,MA,MA,HIV
MA HIV TEST RESULTS NOT DONE,MA,MA,HIV
MA HIV TEST RESULTS PRE VE,MA,MA,HIV
MA HIV TEST RESULTS PREV +VE,MA,MA,HIV
MA INFANT SURVIVAL ALIVE EXP NO NVP,MA,MA,NULL
MA INFANT SURVIVAL ALIVE EXP NVP,MA,MA,NULL
MA INFANT SURVIVAL ALIVE NOT HIV EXP,MA,MA,HIV
MA INFANT SURVIVAL ALIVE UNKNOWN EXP,MA,MA,NULL
MA INFANT SURVIVAL NEONATAL DEATH,MA,MA,NULL
MA INFANT SURVIVAL STILLBIRTH MACERATED,MA,MA,NULL
MA INFANT SURVIVAL STILL FRESH,MA,MA,NULL
MALARIA ADMISSION,MALARIA,MALARIA,NULL
MALARIA DISTRICT HOSPITAL,MALARIA,MALARIA,NULL
MALARIA FLIPCHART,MALARIA,MALARIA,NULL
MALARIA HEALTH CENTRE,MALARIA,MALARIA,NULL
MALARIA INPATIENT DEATH,MALARIA,MALARIA,NULL
MALARIA LEAFLETS,MALARIA,MALARIA,NULL
MALARIA NEW,MALARIA,MALARIA,NULL
MALARIA NONE,MALARIA,MALARIA,NULL
MALARIA # OF COMMUNITY MEETINGS COMMEMORATION DAYS,MALARIA,MALARIA,NULL
MALARIA # OF FILM SHOWS,MALARIA,MALARIA,NULL
MALARIA # OF INTERACTIVE DRAMA SESSIONS,MALARIA,MALARIA,NULL
MALARIA # OF ROAD SHOWS,MALARIA,MALARIA,NULL
MALARIA OTHER,MALARIA,MALARIA,NULL
MALARIA POSTERS,MALARIA,MALARIA,NULL
MALARIA RURAL COMM HOSP,MALARIA,MALARIA,NULL
MALARIA TOTAL# PROVIDED IN THIS QUARTER,MALARIA,MALARIA,NULL
MALARIA TV DVDS,MALARIA,MALARIA,NULL
MAL INPATIENT CONFIRMED MALARIA CASES <5 YEARS,MAL,MALARIA,NULL
MAL INPATIENT CONFIRMED MALARIA CASES 5+ YEARS,MAL,MALARIA,NULL
MAL INPATIENT DEATHS TOTAL <5 YEARS,MAL,MALARIA,NULL
MAL INPATIENT DEATHS TOTAL 5+ YEARS,MAL,MALARIA,NULL
MAL INPATIENT MALARIA DEATHS TOTAL <5 YEARS,MAL,MALARIA,NULL
MAL INPATIENT MALARIA DEATHS TOTAL 5+ YEARS,MAL,MALARIA,NULL
MAL INPATIENTS TOTAL <5 YEARS,MAL,MALARIA,NULL
MAL INPATIENTS TOTAL 5+ YEARS,MAL,MALARIA,NULL
MAL INPATIENT SUSPECTED MALARIA CASES < 5 YEARS,MAL,MALARIA,NULL
MAL INPATIENT SUSPECTED MALARIA CASES 5+ YEARS,MAL,MALARIA,NULL
MAL LA 1X6 CONSUMED,MAL,MALARIA,NULL
MAL LA 1X6 QDISPENSED,MAL,MALARIA,NULL
MAL LA 1X6 Q ISSUED,MAL,MALARIA,NULL
MAL LA 1X6 RECIEVED,MAL,MALARIA,NULL
MAL LA 1X6 STOCKED OUT,MAL,MALARIA,NULL
MAL LA 2X6 CONSUMED,MAL,MALARIA,NULL
MAL LA 2X6 QDISPENSED,MAL,MALARIA,NULL
MAL LA 2X6 Q ISSUED,MAL,MALARIA,NULL
MAL LA 2X6 RECIEVED,MAL,MALARIA,NULL
MAL LA 2X6 STOCKED OUT,MAL,MALARIA,NULL
MAL LA 3X6 CONSUMED,MAL,MALARIA,NULL
MAL LA 3X6 QDISPENSED,MAL,MALARIA,NULL
MAL LA 3X6 Q ISSUED,MAL,MALARIA,NULL
MAL LA 3X6 RECIEVED,MAL,MALARIA,NULL
MAL LA 3X6 STOCKED OUT,MAL,MALARIA,NULL
MAL LA 4X6 CONSUMED,MAL,MALARIA,NULL
MAL LA 4X6 QDISPENSED,MAL,MALARIA,NULL
MAL LA 4X6 Q ISSUED,MAL,MALARIA,NULL
MAL LA 4X6 RECEIVED,MAL,MALARIA,NULL
MAL LA 4X6 STOCKED OUT,MAL,MALARIA,NULL
MAL NUM OF INVALID TEST RDT <5 YRS,MAL,MALARIA,NULL
MAL NUM OF INVALID TEST RDT 5+ YRS,MAL,MALARIA,NULL
MALNUTRITION ADMISSION,MALNUTRITION,SS,NULL
MALNUTRITION INPATIENT DEATH,MALNUTRITION,SS,NULL
MALNUTRITION NEW,MALNUTRITION,SS,NULL
MAL OUTPATIENT CONFIRMED MALARIA CASES MICROSCOPY < 5 YEARS,MAL,MALARIA,NULL
MAL OUTPATIENT CONFIRMED MALARIA CASES MICROSCOPY 5+ YEARS,MAL,MALARIA,NULL
MAL OUTPATIENT CONFIRMED MALARIA CASES RDT <5 YEARS,MAL,MALARIA,NULL
MAL OUTPATIENT CONFIRMED MALARIA CASES RDT 5+ YEARS,MAL,MALARIA,NULL
MAL OUTPATIENT SUSPECTED CASES TESTED FOR MALARIA MICROSCOPY <5 YEARS,MAL,MALARIA,NULL
MAL OUTPATIENT SUSPECTED CASES TESTED FOR MALARIA MICROSCOPY 5+ YEARS,MAL,MALARIA,NULL
MAL OUTPATIENT SUSPECTED CASES TESTED FOR MALARIA RDT < 5 YEARS,MAL,MALARIA,NULL
MAL OUTPATIENT SUSPECTED CASES TESTED FOR MALARIA RDT 5+ YEARS,MAL,MALARIA,NULL
MAL OUTPATIENT SUSPECTED MALARIA CASES < 5 YEARS,MAL,MALARIA,NULL
MAL OUTPATIENT SUSPECTED MALARIA CASES 5+ YEARS,MAL,MALARIA,NULL
MAL RDTS CONSUMED,MAL,MALARIA,NULL
MAL RDTS RECEIVED,MAL,MALARIA,NULL
MAL RTDS CONSUMED,MAL,MALARIA,NULL
MAL RTDS Q ISSUED,MAL,MALARIA,NULL
MAL RTDS RECIEVED,MAL,MALARIA,NULL
MAL RTDS STOCKED OUT,MAL,MALARIA,NULL
MAL SP CONSUMED,MAL,MALARIA,NULL
MAL SP Q ISSUED,MAL,MALARIA,NULL
MAL SP RECEIVED,MAL,MALARIA,NULL
MAL SP STOCKED OUT,MAL,MALARIA,NULL
MA MOTHER NOT ON ART,MA,MA,HIV
MA MOTHER START BEFORE PREGNANCY,MA,MA,NULL
MANAGEMENT MEETINGS CONDUCTED,MANAGEMENT,NULL,NULL
MA NEWBORN COMPLICATIONS ASPHYXIA,MA,MA,NULL
MA NEWBORN COMPLICATIONS NONE,MA,MA,NULL
MA NEWBORN COMPLICATIONS OTHER,MA,MA,NULL
MA NEWBORN COMPLICATIONS PREMATURITY,MA,MA,NULL
MA NEWBORN COMPLICATIONS SEPSIS,MA,MA,NULL
MA NEWBORN COMPLICATIONS WEIGHT < 2500G,MA,MA,NULL
MA OBS COMPLICATIONS ANTE PARTUM,MA,MA,NULL
MA OBS COMPLICATIONS NONE,MA,MA,NULL
MA OBS COMPLICATIONS OTHERS,MA,MA,NULL
MA OBS COMPLICATIONS POST PARTUM,MA,MA,NULL
MA OBS COMPLICATIONS PRE ECLAMPSIA,MA,MA,NULL
MA OBS COMPLICATIONS PRO LABOUR,MA,MA,NULL
MA OBS COMPLICATIONS RUPTURED UTERUS,MA,MA,NULL
MA OBS COMPLICATIONS SEPSIS,MA,MA,NULL
MA OBST CARE ANTIBIOTICS,MA,MA,NULL
MA OBST CARE ANTICONVULSIVE,MA,MA,NULL
MA OBST CARE BLOOD TRANSFUSION,MA,MA,NULL
MA OBST CARE MANUAL REM PLACENTA,MA,MA,NULL
MA OBST CARE OXYTOCIN,MA,MA,NULL
MA RECEIVED VIT A,MA,MA,NULL
MA RECIEVED TETRACYCLINE EYE OINTMENT,MA,MA,NULL
MA REFERRED OUT,MA,MA,NULL
MA SINGLETONS,MA,MA,NULL
MA STAFF CONDUCTING DELIVERY A,MA,MA,NULL
MA STAFF CONDUCTING DELIVERY B,MA,MA,NULL
MA STAFF CONDUCTING DELIVERY C,MA,MA,NULL
MATERNAL HEALTH DISTRICT HOSPITAL,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH FLIPCHART,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH HEALTH CENTRE,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH NONE,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH # OF COMMUNITY MEETINGS COMMEMORATION DAYS,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH # OF FILM SHOWS,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH # OF INTERACTIVE DRAMA SESSIONS,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH # OF ROAD SHOWS,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH POSTERS,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH RURAL COMM HOSP,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH TOTAL# PROVIDED IN THIS QUARTER,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH TOTAL# PROVIDED IN THIS QUARTER,MATERNAL,MATERNAL,NULL
MATERNAL HEALTH TV DVDS,MATERNAL,MATERNAL,NULL
MATERNITY ADMISSION,MATERNITY,MATERNAL,NULL
MAT MATERNAL DEATHS,MAT,MATERNAL,NULL
MA TWINS TRIPLETS,MA,MA,NULL
MCCP 1 YEAR FOLLOW UP <30,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP 30 45,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP >45,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP HIV,MCCP,MCCP,HIV
MCCP 1 YEAR FOLLOW UP HIV+,MCCP,MCCP,HIV
MCCP 1 YEAR FOLLOW UP INITIAL VIA <30,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP INITIAL VIA + <30,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP INITIAL VIA 30 45,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP INITIAL VIA + 30 45,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP INITIAL VIA >45,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP INITIAL VIA + >45,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP INITIAL VIA HIV +,MCCP,MCCP,HIV
MCCP 1 YEAR FOLLOW UP INITIAL VIA + HIV,MCCP,MCCP,HIV
MCCP 1 YEAR FOLLOW UP INITIAL VIA HIV,MCCP,MCCP,HIV
MCCP 1 YEAR FOLLOW UP INITIAL VIA+ HIV+,MCCP,MCCP,HIV
MCCP 1 YEAR FOLLOW UP INITIAL VIA UKNOWN,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP INITIAL VIA + UKNOWN,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP UKNOWN,MCCP,MCCP,NULL
MCCP 1 YEAR FOLLOW UP VIA+ HIV,MCCP,MCCP,HIV
MCCP 1 YEAR FOLLOW UP VIA+ HIV+,MCCP,MCCP,HIV
MCCP 1 YEAR FOLLOW UP VIA HIV,MCCP,MCCP,HIV
MCCP 1 YEAR FOLLOW UP VIA HIV +,MCCP,MCCP,HIV
MCCP 3 MONTH REVIEW <30,MCCP,MCCP,NULL
MCCP 3 MONTH REVIEW 30 45,MCCP,MCCP,NULL
MCCP 3 MONTH REVIEW >45,MCCP,MCCP,NULL
MCCP 3 MONTH REVIEW HIV,MCCP,MCCP,HIV
MCCP 3 MONTH REVIEW HIV +,MCCP,MCCP,HIV
MCCP 3 MONTH REVIEW UKNOWN,MCCP,MCCP,NULL
MCCP IMMEDIATE CRYO DONE HIV,MCCP,MCCP,HIV
MCCP IMMEDIATE CRYO DONE HIV+,MCCP,MCCP,HIV
MCCP INITIAL VIA <30,MCCP,MCCP,NULL
MCCP INITIAL VIA+ <30,MCCP,MCCP,NULL
MCCP INITIAL VIA 30 45,MCCP,MCCP,NULL
MCCP INITIAL VIA+ 30 45,MCCP,MCCP,NULL
MCCP INITIAL VIA >45,MCCP,MCCP,NULL
MCCP INITIAL VIA+ >45,MCCP,MCCP,NULL
MCCP INITIAL VIA HIV,MCCP,MCCP,HIV
MCCP INITIAL VIA HIV+,MCCP,MCCP,HIV
MCCP INITIAL VIA+ HIV,MCCP,MCCP,HIV
MCCP INITIAL VIA+ HIV+,MCCP,MCCP,HIV
MCCP INITIAL VIA UKNOWN,MCCP,MCCP,NULL
MCCP INITIAL VIA+ UKNOWN,MCCP,MCCP,NULL
MCCPP 3 MONTH REVIEW HIV,MCCPP,MCCPP,HIV
MCCPP 3 MONTH REVIEW HIV +,MCCPP,MCCPP,HIV
MCCPP INITIAL VIA HIV,MCCPP,MCCPP,HIV
MCCPP INITIAL VIA HIV+,MCCPP,MCCPP,HIV
MCCP POSTPONED CRYO DONE <30,MCCP,MCCP,NULL
MCCP POSTPONED CRYO DONE 30 45,MCCP,MCCP,NULL
MCCP POSTPONED CRYO DONE >45,MCCP,MCCP,NULL
MCCP POSTPONED CRYO DONE HIV,MCCP,MCCP,HIV
MCCP POSTPONED CRYO DONE HIV+,MCCP,MCCP,HIV
MCCP POSTPONED CRYO DONE HIV+,MCCP,MCCP,HIV
MCCP POSTPONED CRYO DONE UKNOWN,MCCP,MCCP,NULL
MCCP POSTPONED CRYO HIV+,MCCP,MCCP,HIV
MCCP POSTPONED CRYO NOT DONE HIV,MCCP,MCCP,HIV
MCCP POSTPONED CRYO NOT DONE HIV+,MCCP,MCCP,HIV
MCCP POSTPONED CRYO NOT DONE UKNOWN,MCCP,MCCP,NULL
MCCPP POSTPONED CRYO HIV,MCCPP,MCCPP,HIV
MCCPP POSTPONED CRYO HIV+,MCCPP,MCCPP,HIV
MCCPP PROBLEM VISIT HIV,MCCPP,MCCPP,HIV
MCCPP PROBLEM VISIT HIV+,MCCPP,MCCPP,HIV
MCCP PROBLEM VISIT <30,MCCP,MCCP,NULL
MCCP PROBLEM VISIT 30 45,MCCP,MCCP,NULL
MCCP PROBLEM VISIT >45,MCCP,MCCP,NULL
MCCP PROBLEM VISIT HIV,MCCP,MCCP,HIV
MCCP PROBLEM VISIT HIV+,MCCP,MCCP,HIV
MCCP PROBLEM VISIT UKNOWN,MCCP,MCCP,NULL
MCCP REFERRAL LARGE LESION <30,MCCP,MCCP,NULL
MCCP REFERRAL LARGE LESION 30 45,MCCP,MCCP,NULL
MCCP REFERRAL LARGE LESION >45,MCCP,MCCP,NULL
MCCP REFERRAL LARGE LESION HIV,MCCP,MCCP,HIV
MCCP REFERRAL LARGE LESION HIV+,MCCP,MCCP,HIV
MCCP REFERRAL LARGE LESION UKNOWN,MCCP,MCCP,NULL
MCCP REFERRAL OTHER GYN HIV,MCCP,MCCP,HIV
MCCP REFERRAL OTHER GYN HIV+,MCCP,MCCP,HIV
MCCP REFERRAL SUSPECT CANCER <30,MCCP,MCCP,NULL
MCCP REFERRAL SUSPECT CANCER 30 45,MCCP,MCCP,NULL
MCCP REFERRAL SUSPECT CANCER >45,MCCP,MCCP,NULL
MCCP REFERRAL SUSPECT CANCER HIV,MCCP,MCCP,HIV
MCCP REFERRAL SUSPECT CANCER HIV+,MCCP,MCCP,HIV
MCCP REFERRAL SUSPECT CANCER UKNOWN,MCCP,MCCP,NULL
MDR CLINICAL MDR <15,MDR,MDR,NULL
MDR CLINICAL MDR 15+,MDR,MDR,NULL
MDR CLINICAL MDR NEW CASES,MDR,MDR,NULL
MDR CLINICAL MDR PREVIOUSLY TREATED WITH FLDS,MDR,MDR,NULL
MDR CLINICAL MDR PREVIOUSLY TREATED WITH SLDS,MDR,MDR,NULL
MDR CONFIRMED MDR <15,MDR,MDR,NULL
MDR CONFIRMED MDR 15+,MDR,MDR,NULL
MDR CONFIRMED MDR NEW CASES,MDR,MDR,NULL
MDR CONFIRMED MDR PREVIOUSLY TREATED WITH FLDS,MDR,MDR,NULL
MDR CONFIRMED MDR PREVIOUSLY TREATED WITH SLDS,MDR,MDR,NULL
MDR CONFIRMED RR 15+,MDR,MDR,NULL
MDR CONFIRMED RR CASES <15,MDR,MDR,NULL
MDR CONFIRMED RR CASES NEW CASES,MDR,MDR,NULL
MDR CONFIRMED RR CASES PREVIOUSLY TREATED WITH FLDS,MDR,MDR,NULL
MDR CONFIRMED RR CASES PREVIOUSLY TREATED WITH SLDS,MDR,MDR,NULL
MDR INTERIM OUTCOME CULTURE AND SMEAR NOT DONE,MDR,MDR,NULL
MDR INTERIM OUTCOME DIED,MDR,MDR,NULL
MDR INTERIM OUTCOME LOST TO FOLLOW UP,MDR,MDR,NULL
MDR INTERIM OUTCOME NEGATIVE BACTERIOLOGIC RESULTS,MDR,MDR,NULL
MDR INTERIM OUTCOME NUMBER IN COHORT,MDR,MDR,NULL
MDR INTERIM OUTCOME POSITIVE BACTERIOLOGIC RESULTS,MDR,MDR,NULL
MDR INTERIM OUTCOME TRANSFER OUT,MDR,MDR,NULL
MDR TREATMENT OUTCOME COMPLETED,MDR,MDR,NULL
MDR TREATMENT OUTCOME CURED,MDR,MDR,NULL
MDR TREATMENT OUTCOME DIED,MDR,MDR,NULL
MDR TREATMENT OUTCOME FAILED,MDR,MDR,NULL
MDR TREATMENT OUTCOME LOST TO FOLLOW UP,MDR,MDR,NULL
MDR TREATMENT OUTCOME NO OUTCOME ASSIGNED,MDR,MDR,NULL
MDR TREATMENT OUTCOME TOTAL IN CORHORT,MDR,MDR,NULL
MEASLES ADMISSION,MEASLES,MEASLES,NULL
MEASLES INPATIENT DEATH,MEASLES,MEASLES,NULL
MEASLES UNDER 5 YEARS ADMISSION,MEASLES,MEASLES,NULL
MEASLES UNDER 5 YEARS INPATIENT DEATH,MEASLES,MEASLES,NULL
MEASLES UNDER 5 YEARS NEW,MEASLES,MEASLES,NULL
MED ABSCESS,MED,MED,NULL
MED ACUTE AND TRANSIENT PSYCHOTIC DISORDER,MED,MED,NULL
MED ACUTE MALNUTRITION,MED,MED,NULL
MED ACUTE MALNUTRITION IN PREGNANCY AND LACTATING WOMEN,MED,MED,NULL
"MED ACUTE NUTRITION  ADOLESCENTS & ADULTS ",MED,MED,NULL
MED AIDS,MED,MED,HIV
MED ALCOHOL USE MENTAL DISORDER,MED,MED,NULL
MED ANEMIA,MED,MED,NULL
MED ANEMIA IN PREGNANCY,MED,MED,NULL
MED ANTHRAX,MED,MED,NULL
MED APPENDICITIS,MED,MED,NULL
MED ASTHMA ALL FORMS,MED,MED,NULL
MED BED CAPACITY,MED,MED,NULL
"MED BILHARZIA  SCHISTOSOMIASIS ",MED,MED,NULL
MED BOWEL OBSTRUCTION,MED,MED,NULL
MED BREAST CANCER,MED,MED,NULL
"MED BRONCHITIS  ALL FORMS ",MED,MED,NULL
