Table,Element
DHIS,HMIS17 ALL OTHER SURGICAL CONDITIONS ADMISSION
DHIS,HMIS17 ALL OTHER SURGICAL CONDITIONS INPATIENT DEATH
DHIS,HMIS17 ALL OTHER SURGICAL CONDITIONS NEW
DHIS,HMIS17 ANAEMIA ADMISSION
DHIS,HMIS17 ANAEMIA INPATIENT DEATH
DHIS,HMIS17 ANAEMIA NEW
DHIS,HMIS17 ANTENATAL FIRST VISIT IN FIRST TRIMESTER
DHIS,HMIS17 ASTHMA ADMISSION
DHIS,HMIS17 ASTHMA INPATIENT DEATH
DHIS,HMIS17 ASTHMA NEW
DHIS,HMIS17 BILHARZIA NEW
DHIS,HMIS17 CAESAREAN SECTION
DHIS,HMIS17 CASE TREATED AS STI NEW
DHIS,HMIS17 CATARACT ADMISSION
DHIS,HMIS17 CATARACT DENTAL DECAY ADMISSION
DHIS,HMIS17 CATARACT INPATIENT DEATH
DHIS,HMIS17 CATARACT NEW
DHIS,HMIS17 CHICKEN POX ADMISSION
DHIS,HMIS17 CHICKEN POX NEW
DHIS,HMIS17 CHRONIC PSYCHIATRIC DISORDER ADMISSION
DHIS,HMIS17 CHRONIC PSYCHIATRIC DISORDER INPATIENT DEATH
DHIS,HMIS17 CHRONIC PSYCHIATRIC DISORDER NEW
DHIS,HMIS17 CLINICAL OFFICERS IN POST
DHIS,HMIS17 CONFIRMED HIV POSITIVE CASES
DHIS,HMIS17 CUMULATIVE ACTUAL EXPENDITURE IN ALL PROGRAMMES
DHIS,HMIS17 CUMULATIVE ORT ALLOCATION RECEIVED TO DATE
DHIS,HMIS17 DELIVERY BY TRAINED PERSONNEL
DHIS,HMIS17 DENTAL DECAY ADMISSIONS
DHIS,HMIS17 DENTAL DECAY INPATIENT DEATH
DHIS,HMIS17 DENTAL DECAY NEW
DHIS,HMIS17 DIABETIC CASES ADMISSION
DHIS,HMIS17 DIABETIC CASES DEATH
DHIS,HMIS17 DIABETIC CASES NEW
DHIS,HMIS17 DIARRHOEA DISEASES  NON BLOODY  ADMISSION
DHIS,HMIS17 DIARRHOEA DISEASES  NON BLOODY  INPATIENT DEATH
DHIS,HMIS17 DIARRHOEA DISEASES  NON BLOODY  NEW
DHIS,HMIS17 DIARRHOEA DISEASES  NON BLOODY  UNDER 5 YEARS ADMISSION
DHIS,HMIS17 DIARRHOEA DISEASES  NON BLOODY  UNDER 5 YEARS INPATIENT DEATH
DHIS,HMIS17 DIARRHOEA DISEASES  NON BLOODY  UNDER 5 YEARS NEW
DHIS,HMIS17 DIRECT OBSTETRIC INPATIENT DEATH
DHIS,HMIS17 DISCHARGES TOTAL
DHIS,HMIS17 DOCTORS IN POSTS
DHIS,HMIS17 DOG BITE ADMISSION
DHIS,HMIS17 DOG BITE INPATIENT DEATH
DHIS,HMIS17 DOG BITE NEW
DHIS,HMIS17 DYSENTERY ADMISSION
DHIS,HMIS17 DYSENTERY INPATIENT DEATH
DHIS,HMIS17 DYSENTERY NEW
DHIS,HMIS17 DYSENTERY UNDER 5 YEARS ADMISSION
DHIS,HMIS17 DYSENTERY UNDER 5 YEARS INPATIENT DEATH
DHIS,HMIS17 DYSENTERY UNDER 5 YEARS NEW
DHIS,HMIS17 EAR INFECTION ADMISSION
DHIS,HMIS17 EAR INFECTION INPATIENT DEATH
DHIS,HMIS17 EAR INFECTION NEW
DHIS,HMIS17 ECLAMPSIA ADMISSIONS
DHIS,HMIS17 ECLAMPSIA DEATHS
DHIS,HMIS17 ECLAMPSIA NEW
DHIS,HMIS17 EPILEPSY ADMISSION
DHIS,HMIS17 EPILEPSY INPATIENT DEATH
DHIS,HMIS17 EPILEPSY NEW
DHIS,HMIS17 FAMILY PLANNING ACCEPTORS OF CHILD BEARING AGE NEW
DHIS,HMIS17 FIRST ANTENATAL VISIT
DHIS,HMIS17 FUNCTIONING AMBULANCES
DHIS,HMIS17 GOITRE ADMISSION
DHIS,HMIS17 GOITRE NEW
DHIS,HMIS17 GYNAECOLOGICAL DISORDERS ADMISSION
DHIS,HMIS17 GYNAECOLOGICAL DISORDERS INPATIENT DEATH
DHIS,HMIS17 GYNAECOLOGICAL DISORDERS NEW
DHIS,HMIS17 GYNAECOLOGY VISTS
DHIS,HMIS17 HIV AIDS ADMISSION
DHIS,HMIS17 HIV AIDS INPATIENT DEATH
DHIS,HMIS17 HIV AIDS NEW
DHIS,HMIS17 HIV TEST POSITIVE 15 49 YEARS
DHIS,HMIS17 HYPERTENSION ADMISSION
DHIS,HMIS17 HYPERTENSION INPATIENT DEATH
DHIS,HMIS17 HYPERTENSION NEW
DHIS,HMIS17 INCOME COST SHARING
DHIS,HMIS17 INPATIENT DAYS
DHIS,HMIS17 INPATIENT DEATHS TOTAL
DHIS,HMIS17 INSECTICIDE TREATED NETS DISTRIBUTED
DHIS,HMIS17 INTESTINAL WORMS NEW
DHIS,HMIS17 IRON SUPPLEMENTATION RECEIVED BY PREGNANT WOMAN
DHIS,HMIS17 JAUNDICE AND INFECTIVE HEPATITIS ADMISSION
DHIS,HMIS17 JAUNDICE AND INFECTIVE HEPATITIS INPATIENT DEATH
DHIS,HMIS17 JAUNDICE AND INFECTIVE HEPATITIS NEW
DHIS,HMIS17 LEPROSY ADMISSION
DHIS,HMIS17 LEPROSY NEW
DHIS,HMIS17 LIVE BIRTH
DHIS,HMIS17 LIVE BIRTH UNDER 2500G
DHIS,HMIS17 MALARIA 5 YEARS AND OLDER ADMISSION
DHIS,HMIS17 MALARIA 5 YEARS AND OLDER DEATHS
DHIS,HMIS17 MALARIA 5 YEARS AND OLDER NEW
DHIS,HMIS17 MALARIA ADMISSION
DHIS,HMIS17 MALARIA INPATIENT DEATH
DHIS,HMIS17 MALARIA NEW
DHIS,HMIS17 MALARIA UNDER 5 YEARS ADMISSIONS
DHIS,HMIS17 MALARIA UNDER 5 YEARS DEATHS
DHIS,HMIS17 MALARIA UNDER 5 YEARS NEW
DHIS,HMIS17 MALNUTRITION ADMISSION
DHIS,HMIS17 MALNUTRITION INPATIENT DEATH
DHIS,HMIS17 MALNUTRITION NEW
DHIS,HMIS17 MEASLES ADMISSION
DHIS,HMIS17 MEASLES INPATIENT DEATH
DHIS,HMIS17 MEASLES NEW
DHIS,HMIS17 MEASLES UNDER 5 YEARS ADMISSION
DHIS,HMIS17 MEASLES UNDER 5 YEARS INPATIENT DEATH
DHIS,HMIS17 MEASLES UNDER 5 YEARS NEW
DHIS,HMIS17 MENINGITIS ADMISSION
DHIS,HMIS17 MENINGITIS INPATIENT DEATH
DHIS,HMIS17 MENINGITIS NEW
DHIS,HMIS17 MUSCULOSKELETAL PAINS ADMISSION
DHIS,HMIS17 MUSCULOSKELETAL PAINS INPATIENT DEATH
DHIS,HMIS17 MUSCULOSKELETAL PAINS NEW
DHIS,HMIS17 NEW BORN COMPLICATIONS ADMISSIONS
DHIS,HMIS17 NEW BORN COMPLICATIONS NEW
DHIS,HMIS17 NEW PATIENTS ATTENDING PHYSIOTHERAPY
DHIS,HMIS17 NIVERAPINE DOSE TO BABY BORN TO WOMAN WITH HIV
DHIS,HMIS17 NURSING OFFICERS IN POSTS
DHIS,HMIS17 OPD TOTAL ATTENDANCE
DHIS,HMIS17 OPERATIONS DURING THE SAME PERIOD
DHIS,HMIS17 OPERATIONS PERFORMED WITHIN 7 DAYS OF ADMISSION
DHIS,HMIS17 OPPORTUNISTIC INFECTIONS ADMISSION
DHIS,HMIS17 OPPORTUNISTIC INFECTIONS INPATIENT DEATHS
DHIS,HMIS17 OPPORTUNISTIC INFECTIONS NEW
DHIS,HMIS17 OTHER GENITO URINARY TRACT INFECTION ADMISSION
DHIS,HMIS17 OTHER GENITO URINARY TRACT INFECTION INPATIENT DEATH
DHIS,HMIS17 OTHER GENITO URINARY TRACT INFECTION NEW
DHIS,HMIS17 OTHER HEART DISEASES ADMISSION
DHIS,HMIS17 OTHER HEART DISEASES INPATIENT DEATH
DHIS,HMIS17 OTHER HEART DISEASES NEW
DHIS,HMIS17 OTHER LOWER RESPIRATORY INFECTION ADMISSION
DHIS,HMIS17 OTHER LOWER RESPIRATORY INFECTION INPATIENT DEATH
DHIS,HMIS17 OTHER LOWER RESPIRATORY INFECTION NEW
DHIS,HMIS17 OTHER ORAL CONDITIONS ADMISSION
DHIS,HMIS17 OTHER ORAL CONDITIONS INPATIENT DEATH
DHIS,HMIS17 OTHER ORAL CONDITIONS NEW
DHIS,HMIS17 OTHER SKIN CONDITIONS ADMISSION
DHIS,HMIS17 OTHER SKIN CONDITIONS INPATIENT DEATH
DHIS,HMIS17 OTHER SKIN CONDITIONS NEW
DHIS,HMIS17 PATIENTS CURED AND DISCHARGED HOME
DHIS,HMIS17 PATIENTS SEEN BY SPECIALISTS WITHIN 4 WEEKS OF APPOINTMENT
DHIS,HMIS17 PATIENTS SEEN IN THE SPECIALIST CLINIC TOTAL
DHIS,HMIS17 PNEUMONIA ADMISSION
DHIS,HMIS17 PNEUMONIA INPATIENT DEATH
DHIS,HMIS17 PNEUMONIA NEW
DHIS,HMIS17 PNEUMONIA UNDER 5 YEARS ADMISSION
DHIS,HMIS17 PNEUMONIA UNDER 5 YEARS INPATIENT DEATH
DHIS,HMIS17 PNEUMONIA UNDER 5 YEARS NEW
DHIS,HMIS17 POST PARTUM HAEMORRHAGE ADMISSIONS
DHIS,HMIS17 POST PARTUM HAEMORRHAGE DEATHS
DHIS,HMIS17 POST PARTUM HAEMORRHAGE NEW
DHIS,HMIS17 POSTNATAL WOMAN RECEIVING VITAMIN A WITHIN 2 WEEKS OF DELIVERY
DHIS,HMIS17 PREGNANT WOMAN RECEIVING VCT AND SEROSTATUS RESULT
DHIS,HMIS17 PREGNANT WOMAN TESTED HIV POSITIVE
DHIS,HMIS17 RABIES ADMISSION
DHIS,HMIS17 RABIES INPATIENT DEATH
DHIS,HMIS17 RABIES NEW
DHIS,HMIS17 REFERALS FROM OTHER INSTITUTIONS
DHIS,HMIS17 REFERRALS TO OTHER INSTITUTIONS
DHIS,HMIS17 ROAD TRAFFIC ACCIDENTS ADMISSIONS
DHIS,HMIS17 ROAD TRAFFIC ACCIDENTS DEATH
DHIS,HMIS17 ROAD TRAFFIC ACCIDENTS NEW
DHIS,HMIS17 SCABIES ADMISSION
DHIS,HMIS17 SCABIES NEW
DHIS,HMIS17 SEPSIS ADMISSIONS
DHIS,HMIS17 SEPSIS DEATHS
DHIS,HMIS17 SEPSIS NEW
DHIS,HMIS17 SEVERE ANAEMIA IN PREGNANCY ADMISSIONS
DHIS,HMIS17 SEVERE ANAEMIA IN PREGNANCY DEATHS
DHIS,HMIS17 SEVERE ANAEMIA IN PREGNANCY NEW
DHIS,HMIS17 SEXUALLY TRANSMITTED INFECTIONS ADMISSION
DHIS,HMIS17 SEXUALLY TRANSMITTED INFECTIONS INPATIENT DEATH
DHIS,HMIS17 SPECIALISTS IN POST
DHIS,HMIS17 SULPHA PYRIMETHAMINE RECEIVED BY PREGNANT WOMAN
DHIS,HMIS17 TECHNICIANS IN POST
DHIS,HMIS17 TET TOX 5TH BOOSTER DOSE TO PREGNANT WOMAN
DHIS,HMIS17 TOTAL ANC ATTENDANCE
DHIS,HMIS17 TOTAL ANTENATAL VISITS
DHIS,HMIS17 TOTAL PHYSIOTHERAPY ATTENDANCE
DHIS,HMIS17 TRAUMATIC CONDITIONS ADMISSION
DHIS,HMIS17 TRAUMATIC CONDITIONS INPATIENT DEATH
DHIS,HMIS17 TRAUMATIC CONDITIONS NEW
DHIS,HMIS17 TTV 5TH DOSE
DHIS,HMIS17 TUBERCULOSIS DETECTED ADMISSION
DHIS,HMIS17 TUBERCULOSIS DETECTED INPATIENT DEATH
DHIS,HMIS17 TUBERCULOSIS DIAGNOSED NEW
DHIS,HMIS17 TYPHOID ADMISSION
DHIS,HMIS17 TYPHOID INPATIENT DEATH
DHIS,HMIS17 TYPHOID NEW
DHIS,HMIS17 UPPER RESPIRATORY INFECTION ADMISSION
DHIS,HMIS17 UPPER RESPIRATORY INFECTION INPATIENT DEATH
DHIS,HMIS17 UPPER RESPIRATORY INFECTION NEW
DHIS,HMIS17 VOLUNTARY COUNSELLING AND TESTING 15 49 AGE GROUP
DHIS,HMIS17 WOMAN OF CHILD BEARING AGE USING MODERN FAMILY PLANNING METHODS
DHIS,HMIS17 WOMAN WITH OBSTETRIC COMPLICATION TREATED AT OBSTETRIC CARE FACILITY
DHIS,HMIS17 WOMEN OF REPRODUCTIVE AGE RECEIVING CONDOMS
DHIS,HMIS17 WOMEN OF REPRODUCTIVE AGE RECEIVING DEPO PROVERA
DHIS,HMIS17 WOMEN OF REPRODUCTIVE AGE RECEIVING IUCD
DHIS,HMIS17 WOMEN OF REPRODUCTIVE AGE RECEIVING NORPLANT
DHIS,HMIS17 WOMEN OF REPRODUCTIVE AGE RECEIVING ORAL PILLS
DHIS,HMIS17 WOMEN OF REPRODUCTIVE AGE RECEIVING STERILISATION
DHIS,HMIS17 YELLOW FEVER ADMISSION
DHIS,HMIS17 YELLOW FEVER NEW
DHIS,HTC AGE A 0 11 MONTHS
DHIS,HTC AGE B 1 14 YEARS
DHIS,HTC AGE C 15 24 YEARS
DHIS,HTC AGE D 25+ YEARS
DHIS,HTC CLIENT OTHERS
DHIS,HTC CLIENT PITC
DHIS,HTC CLIENT PRS
DHIS,HTC CONFIRMATORY INCONCL
DHIS,HTC FINAL RESULTS GIVEN TO CLIENT CONFIRMED POSITIVE
DHIS,HTC FINAL RESULTS GIVEN TO CLIENT EXPOSED INFANT
DHIS,HTC FINAL RESULTS GIVEN TO CLIENT INCONCLUSIVE
DHIS,HTC FINAL RESULTS GIVEN TO CLIENT NEGATIVE
DHIS,HTC FINAL RESULTS GIVEN TO CLIENT POSITIVE
DHIS,HTC FINAL RESULTS GIVEN TO CLIENT QUERY FALSE POSITIVE
DHIS,HTC NEVER TESTED
DHIS,HTC OUTREACH SITES
DHIS,HTC PARTNER NOT PRESENT
DHIS,HTC PARTNER PRESENT
DHIS,HTC PHYSICAL TESTS IN STOCK AT END
DHIS,HTC PREV EXPOSED INFANT
DHIS,HTC PREV INCONCLUSIVE
DHIS,HTC PREV NEGATIVE
DHIS,HTC PREV POSITIVE
DHIS,HTC REFERRED FOR ART SERVICES
DHIS,HTC REFERRED FOR OTHER SERVICES
DHIS,HTC REFERRED FOR PMTCT SERVICES
DHIS,HTC REFERRED FOR TB SERVICES
DHIS,HTC RISK HIGH
DHIS,HTC RISK LOW
DHIS,HTC RISK ONG
DHIS,HTC STATIC SITES
DHIS,HTC SUM OF ALL SLIPS
DHIS,HTC TEST KIT OUTCOMES SINGLE TEST NEGATIVE
DHIS,HTC TEST KIT OUTCOMES SINGLE TEST POSITIVE
DHIS,HTC TEST KIT OUTCOMES TEST 1&2 DISCORD
DHIS,HTC TEST KIT OUTCOMES TEST 1&2 POSITIVE
DHIS,HTC TEST KIT RESULTS TEST 1&2 NEGATIVE
DHIS,HTC TESTED EVER
DHIS,HTC TESTED MALES
DHIS,HTC TESTED NON PREGNANT FEMALES
DHIS,HTC TESTED PREGNANT FEMALES
DHIS,HTC TESTED WITH PARTNER
DHIS,HTC TOTAL TEST USED FOR TESTING CLIENTS
DHIS,HTC TOTAL TESTS EXPIRED DISPOSED
DHIS,HTC TOTAL TESTS IN STOCK AT START OF 1ST DAY
DHIS,HTC TOTAL TESTS RECEIVED AT THIS LOCATION
DHIS,HTC TOTAL TESTS USED FOR PURPOSES
DHIS,HTC WAS ANY HIV TESTING DONE AT THIS SITE DURING THIS MONTH
DHIS,HTS ART
DHIS,HTS BIOLINE
DHIS,HTS DETERMINE
DHIS,HTS FEMALE NON PREGNANT
DHIS,HTS FEMALE PREGNANT
DHIS,HTS HC
DHIS,HTS MALE
DHIS,HTS NUM OF CBDA HSA
DHIS,HTS NUM OF EXPECTED CBDA HSA
DHIS,HTS PERCENTAGE REPORTING RATE
DHIS,HTS PMTCT
DHIS,HTS SUPPORT GROUPS
DHIS,HTS UNIGOLD
DHIS,IDSR ACUTE FLACID PARALYSIS
DHIS,IDSR ACUTE HEMORRHAGIC FEVER SYNDROME
DHIS,IDSR ACUTE HEPATITIS
DHIS,IDSR ACUTE PSYCHOSIS
DHIS,IDSR ADVERSE EFFECTS FOLLOWING IMMUNIZATION
DHIS,IDSR AFP
DHIS,IDSR BACTERIAL MENINGITIS
DHIS,IDSR CASES INITIATED ON ART
DHIS,IDSR CERVICAL CANCER
DHIS,IDSR CHOLERA
DHIS,IDSR DECISIONS AND ACTION TAKEN
DHIS,IDSR DIABETES MELLITUS
DHIS,IDSR DIARRHOEA IN <5
DHIS,IDSR DIARRHOEA WITH BLOOD
DHIS,IDSR DIARRHOEA WITH BLOODY
DHIS,IDSR DIARRHOEA WITH DEHYDRATION
DHIS,IDSR DOG BITE
DHIS,IDSR EPIDEMIOLOGICAL COMMENTS
DHIS,IDSR EPILEPSY
DHIS,IDSR FEMALE NON VESICULAR GENITAL ULCER
DHIS,IDSR INFLUENZA LIKE ILLNESS
DHIS,IDSR LEPROSY
DHIS,IDSR LF
DHIS,IDSR MALARIA < 5 YEARS SEVERE
DHIS,IDSR MALARIA < 5 YEARS UNCOMPLICATED
DHIS,IDSR MALARIA <5
DHIS,IDSR MALARIA >= 5 YEARS SEVERE
DHIS,IDSR MALARIA >= 5 YEARS UNCOMPLICATED
DHIS,IDSR MALARIA 5 +
DHIS,IDSR MALARIA IN PREGNANT WOMEN SEVERE
DHIS,IDSR MALARIA IN PREGNANT WOMEN UNCOMPLICATED
DHIS,IDSR MALARIA PREGNANCY
DHIS,IDSR MALARIA WITH SEVERE ANEMIA <5YEARS
DHIS,IDSR MALE NON VESICULAR GENITAL ULCER
DHIS,IDSR MALE URETHRAL DISCHARGE
DHIS,IDSR MALNUTRITION < 5 YEARS
DHIS,IDSR MATERNAL DEATHS
DHIS,IDSR MEASLES
DHIS,IDSR MENINGITIS
DHIS,IDSR NEONATAL TETANUS
DHIS,IDSR NEW AIDS CASES
DHIS,IDSR NEWBORN WITH LOW BIRTHWEIGHT < 2500G
DHIS,IDSR NEWLY DIAGNOSED HIV
DHIS,IDSR ONCHOCERCIASIS
DHIS,IDSR PLAGUE
DHIS,IDSR PNEUMONIA <5 YEARS
DHIS,IDSR POLIOMYELITIS
DHIS,IDSR RABIES
DHIS,IDSR RECOMMENDATIONS
DHIS,IDSR SARS
DHIS,IDSR SCHISTOSOMIASIS INTESTINAL
DHIS,IDSR SCHISTOSOMIASIS URINARY
DHIS,IDSR SEVERE ACUTE RESPIRATORY INFECTION
DHIS,IDSR SEVERE PNEUMONIA <5
DHIS,IDSR SEVERE PNEUMONIA <5 YEARS
DHIS,IDSR SEXUALLY TRANSMITTED INFECTIONS
DHIS,IDSR SMALLPOX
DHIS,IDSR TRACHOMA
DHIS,IDSR TRYPANOSOMIASIS
DHIS,IDSR TYPHOID FEVER
DHIS,IDSR UNCOMPLICATED MALARIA <5Y LAB CONFIRMED
DHIS,IDSR UNCOMPLICATED MALARIA 5+Y LAB CONFIRMED
DHIS,IDSR VERY SEVERE PNEUMONIA <5 YEARS
DHIS,IDSR VIRAL HEMORRHAGIC
DHIS,IDSR VIRAL HEMORRHAGIC FEVER
DHIS,IDSR YELLOW FEVER
DHIS,"IMCI ADJUSTMENT COTRIMOXAZOLE  E "
DHIS,IMCI ADJUSTMENT COTRIMOXAZOLE IN
DHIS,IMCI ADJUSTMENT COTRIMOXAZOLE OUT
DHIS,"IMCI ADJUSTMENT EYE OINTMENT  E "
DHIS,IMCI ADJUSTMENT EYE OINTMENT IN
DHIS,IMCI ADJUSTMENT EYE OINTMENT OUT
DHIS,"IMCI ADJUSTMENT LA 1X6  E "
DHIS,IMCI ADJUSTMENT LA 1X6 IN
DHIS,IMCI ADJUSTMENT LA 1X6 OUT
DHIS,"IMCI ADJUSTMENT LA 2X6  E "
DHIS,IMCI ADJUSTMENT LA 2X6 IN
DHIS,IMCI ADJUSTMENT LA 2X6 OUT
DHIS,"IMCI ADJUSTMENT ORS  E "
DHIS,IMCI ADJUSTMENT ORS IN
DHIS,IMCI ADJUSTMENT ORS OUT
DHIS,"IMCI ADJUSTMENT PARACETAMOL  E "
DHIS,IMCI ADJUSTMENT PARACETAMOL IN
DHIS,IMCI ADJUSTMENT PARACETAMOL OUT
DHIS,"IMCI ADJUSTMENT ZINC  E "
DHIS,IMCI ADJUSTMENT ZINC IN
DHIS,IMCI ADJUSTMENT ZINC OUT
DHIS,"IMCI DAYS STOCKED OUT COTRIMOXAZOLE  C "
DHIS,"IMCI DAYS STOCKED OUT EYE OINTMENT  C "
DHIS,"IMCI DAYS STOCKED OUT LA 1X6  C "
DHIS,"IMCI DAYS STOCKED OUT LA 2X6  C "
DHIS,"IMCI DAYS STOCKED OUT ORS  C "
DHIS,"IMCI DAYS STOCKED OUT PARACETAMOL  C "
DHIS,"IMCI DAYS STOCKED OUT ZINC  C "
DHIS,IMCI DEATHS ANAEMIA PALLOR 12 TO 59 MONTHS
DHIS,IMCI DEATHS ANAEMIA PALLOR 2 TO 11 MONTHS
DHIS,IMCI DEATHS DIARRHOEA 12 TO 59 MONTHS
DHIS,IMCI DEATHS DIARRHOEA 2 TO 11 MONTHS
DHIS,IMCI DEATHS MALARIA FEVER 12 TO 59 MONTHS
DHIS,IMCI DEATHS MALARIA FEVER 2 TO 11 MONTHS
DHIS,IMCI DEATHS MALNUTRITION 12 TO 59 MONTHS
DHIS,IMCI DEATHS MALNUTRITION 2 TO 11 MONTHS
DHIS,IMCI DEATHS OTHER CONDITIONS 12 TO 59 MONTHS
DHIS,IMCI DEATHS OTHER CONDITIONS 2 TO 11 MONTHS
DHIS,IMCI DEATHS PNEUMONIA FAST BREATHING 12 TO 59 MONTHS
DHIS,IMCI DEATHS PNEUMONIA FAST BREATHING 2 TO 11 MONTHS
DHIS,IMCI DEATHS RED EYE 12 TO 59 MONTHS
DHIS,IMCI DEATHS RED EYE 2 TO 11 MONTHS
DHIS,"IMCI LOSES COTRIMOXAZOLE  D "
DHIS,"IMCI LOSES EYE OINTMENT  D "
DHIS,"IMCI LOSES LA 1X6  D "
DHIS,"IMCI LOSES LA 2X6  D "
DHIS,"IMCI LOSES ORS  D "
DHIS,"IMCI LOSES PARACETAMOL  D "
DHIS,"IMCI LOSES ZINC  D "
DHIS,IMCI NEW CASES ANAEMIA PALLOR 12 TO 59 MONTHS
DHIS,IMCI NEW CASES ANAEMIA PALLOR 2 TO 11 MONTHS
DHIS,IMCI NEW CASES BY GENDER FEMALE
DHIS,IMCI NEW CASES BY GENDER MALE
DHIS,IMCI NEW CASES DIARRHOEA 12 TO 59 MONTHS
DHIS,IMCI NEW CASES DIARRHOEA 2 TO 11 MONTHS
DHIS,IMCI NEW CASES MALARIA FEVER 12 TO 59 MONTHS
DHIS,IMCI NEW CASES MALARIA FEVER 2 TO 11 MONTHS
DHIS,IMCI NEW CASES MALNUTRITION 12 TO 59 MONTHS
DHIS,IMCI NEW CASES MALNUTRITION 2 TO 11 MONTHS
DHIS,IMCI NEW CASES OTHER CONDITIONS 12 TO 59 MONTHS
DHIS,IMCI NEW CASES OTHER CONDITIONS 2 TO 11 MONTHS
DHIS,IMCI NEW CASES PNEUMONIA FAST BREATHING 12 TO 59 MONTHS
DHIS,IMCI NEW CASES PNEUMONIA FAST BREATHING 2 TO 11 MONTHS
DHIS,IMCI NEW CASES RED EYE 12 TO 59 MONTHS
DHIS,IMCI NEW CASES RED EYE 2 TO 11 MONTHS
DHIS,"IMCI NEW SOH COTRIMOXAZOLE  H "
DHIS,"IMCI NEW SOH EYE OINTMENT  H "
DHIS,"IMCI NEW SOH LA 1X6  H "
DHIS,"IMCI NEW SOH LA 2X6  H "
DHIS,"IMCI NEW SOH ORS  H "
DHIS,"IMCI NEW SOH PARACETAMOL  H "
DHIS,"IMCI NEW SOH ZINC  H "
DHIS,"IMCI QTY RECEIVED COTRIMOXAZOLE  G "
DHIS,"IMCI QTY RECEIVED EYE OINTMENT  G "
DHIS,"IMCI QTY RECEIVED LA 1X6  G "
DHIS,"IMCI QTY RECEIVED LA 2X6  G "
DHIS,"IMCI QTY RECEIVED ORS  G "
DHIS,"IMCI QTY RECEIVED PARACETAMOL  G "
DHIS,"IMCI QTY RECEIVED ZINC  G "
DHIS,"IMCI QUANTITY DISPENSED COTRIMOXAZOLE  B "
DHIS,"IMCI QUANTITY DISPENSED EYE OINTMENT  B "
DHIS,"IMCI QUANTITY DISPENSED LA 1X6  B "
DHIS,"IMCI QUANTITY DISPENSED LA 2X6  B "
DHIS,"IMCI QUANTITY DISPENSED ORS  B "
DHIS,"IMCI QUANTITY DISPENSED PARACETAMOL  B "
DHIS,"IMCI QUANTITY DISPENSED ZINC  B "
DHIS,"IMCI QUANTITY ON HAND COTRIMOXAZOLE  A "
DHIS,"IMCI QUANTITY ON HAND EYE OINTMENT  A "
DHIS,"IMCI QUANTITY ON HAND LA 1X6  A "
DHIS,"IMCI QUANTITY ON HAND LA 2X6  A "
DHIS,"IMCI QUANTITY ON HAND ORS  A "
DHIS,"IMCI QUANTITY ON HAND PARACETAMOL  A "
DHIS,"IMCI QUANTITY ON HAND ZINC  A "
DHIS,IMCI REFERRALS ANAEMIA PALLOR 12 TO 59 MONTHS
DHIS,IMCI REFERRALS ANAEMIA PALLOR 2 TO 11 MONTHS
DHIS,IMCI REFERRALS DIARRHOEA 12 TO 59 MONTHS
DHIS,IMCI REFERRALS DIARRHOEA 2 TO 11 MONTHS
DHIS,IMCI REFERRALS MALARIA FEVER 12 TO 59 MONTHS
DHIS,IMCI REFERRALS MALARIA FEVER 2 TO 11 MONTHS
DHIS,IMCI REFERRALS MALNUTRITION 12 TO 59 MONTHS
DHIS,IMCI REFERRALS MALNUTRITION 2 TO 11 MONTHS
DHIS,IMCI REFERRALS OTHER CONDITIONS 12 TO 59 MONTHS
DHIS,IMCI REFERRALS OTHER CONDITIONS 2 TO 11 MONTHS
DHIS,IMCI REFERRALS PNEUMONIA FAST BREATHING 12 TO 59 MONTHS
DHIS,IMCI REFERRALS PNEUMONIA FAST BREATHING 2 TO 11 MONTHS
DHIS,IMCI REFERRALS RED EYE 12 TO 59 MONTHS
DHIS,IMCI REFERRALS RED EYE 2 TO 11 MONTHS
DHIS,INCINERATOR AND PLACENTA DISPOSAL PIT HEALTH CENTRES
DHIS,INCOME ALL SOURCES
DHIS,INCOME COST SHARING
DHIS,INTESTINAL WORMS ADMISSION
DHIS,INTESTINAL WORMS INPATIENT DEATH
DHIS,INTESTINAL WORMS NEW
DHIS,KMC BABIES INITIATED ON AMBULATORY KMC
DHIS,KMC LBW BABIES INITIATED ON AMBULATORY KMC
DHIS,KMC NUMBER OF BABIES DISCHARGED ALIVE
DHIS,KMC NUMBER OF BABIES EXPECTED FOR KMC FOLLOW UP
DHIS,KMC NUMBER OF BABIES INITIATED ON KMC
DHIS,KMC NUMBER OF BABIES INITIATED ON KMC REF IN
DHIS,KMC NUMBER OF BABIES INITIATED ON KMC REF OUT
DHIS,KMC NUMBER OF BABIES THAT ATTENDED ATLEAST 1 KMC FOLLOW UP
DHIS,KMC NUMBER OF BABIES WHO ABSCONDED FROM KMC
DHIS,KMC NUMBER OF BABIES WHO DIED BEFORE DISCHARGE
DHIS,KMC NUMBER OF LBW BABIES
DHIS,KMC NUMBER OF PRE TERM BABIES
DHIS,LAB ACID PHOSPHATASE
DHIS,LAB ADULT CELL PACKS
DHIS,LAB ALBUMIN
DHIS,LAB ALKALINE PHOSPHATASE
DHIS,LAB AMYLASE
DHIS,LAB BICARBONATE
DHIS,LAB BILURUBIN TOTAL
DHIS,LAB BIRULUBIN DIRECT
DHIS,LAB BLEEDING TIME
DHIS,LAB BLOOD GROUPING
DHIS,LAB CALCIUM
DHIS,LAB CD4 EPIC
